,,,,,,,,,,,
,Treecko,,Learnset,,Grovyle,,Learnset,,Sceptile,,Learnset
,,,1 - Pound,,,,1 - Pound,,,,1 - Pound
,,,1 - Leer,,,,1 - Leer,,,,1 - Leer
,,,6 - Mega Drain,,,,6 - Mega Drain,,,,6 - Mega Drain
,,,11 - Quick Attack,,,,11 - Quick Attack,,,,11 - Quick Attack
,,,18 - Magical Leaf,,,,18 - Magical Leaf,,,,18 - Magical Leaf
,GRASS,,21 - Dragonbreath,,GRASS,,21 - Dragonbreath,,GRASS,DRAGON,21 - Dragonbreath
,Ability 1,Rock Head,25 - Giga Drain,,Ability 1,Rock Head,25 - Giga Drain,,Ability 1,Rock Head,25 - Giga Drain
,Ability 2,Overgrow,29 - Leaf Blade,,Ability 2,Overgrow,29 - Leaf Blade,,Ability 2,Overgrow,29 - Leaf Blade
,Base Stats,,36 - Dragon Claw,,Base Stats,,36 - Dragon Claw,,Base Stats,,36 - Dragon Claw
,HP,40,43 - Crunch,,HP,50,43 - Crunch,,HP,70,43 - Crunch
,Attack,45,50 - Detect,,Attack,65,50 - Detect,,Attack,85,50 - Detect
,Defense,35,74 - Petal Dance,,Defense,55,74 - Petal Dance,,Defense,65,74 - Petal Dance
,Special Attack,65,84 - Frenzy Plant,,Special Attack,85,84 - Frenzy Plant,,Special Attack,110(+5),84 - Frenzy Plant
,Special Defense,55,84 - Outrage,,Special Defense,65,84 - Outrage,,Special Defense,85,84 - Outrage
,Speed,70,,,Speed,95,,,Speed,120,
,,,,,Evolves at level 16.,,,,Evolves at level 36.,,
,,,,,,,,,,,
,,,,,,,,,,,
,Torchic,,Learnset,,Combusken,,Learnset,,Blaziken,,Learnset
,,,1 - Vital Throw,,,,1 - Vital Throw,,,,1 - Vital Throw
,,,1 - Scratch,,,,1 - Scratch,,,,1 - Scratch
,,,1 - Growl,,,,1 - Growl,,,,1 - Growl
,,,1 - Ember,,,,1 - Ember,,,,1 - Ember
,,,7 - Flame Wheel,,,,7 - Flame Wheel,,,,7 - Flame Wheel
,FIRE,,13 - Aerial Ace,,FIRE,FIGHTING,13 - Aerial Ace,,FIRE,FIGHTING,13 - Aerial Ace
